"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000137.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9217 0.3879"	"dimensionless"	"Unit Vector"	"direct"	"2.56 343.65 0.0"	"micron"	"direct"	"32.9375"	"micron^2"	"direct"	"6.4765"	"micron"	"direct"	"9.60125"	"micron"	"direct"	"4.47475"	"micron"	"direct"	"24.21025"	"micron"	"direct"	"3.23825"	"micron"	"direct"	"0.46605911"	"dimensionless"	"direct"	"0.70615811"	"dimensionless"	"direct"	"0.88475359"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
"MCDS_S_0000000137.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9934 -0.115"	"dimensionless"	"Unit Vector"	"direct"	"3.0 380.9 0.0"	"micron"	"direct"	"62.3125"	"micron^2"	"direct"	"8.908"	"micron"	"direct"	"13.482"	"micron"	"direct"	"6.27225"	"micron"	"direct"	"37.99575"	"micron"	"direct"	"4.454"	"micron"	"direct"	"0.46523142"	"dimensionless"	"direct"	"0.54239415"	"dimensionless"	"direct"	"0.88518909"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
"MCDS_S_0000000137.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9972 0.075"	"dimensionless"	"Unit Vector"	"direct"	"1.66 408.8 0.0"	"micron"	"direct"	"26.5"	"micron^2"	"direct"	"5.809"	"micron"	"direct"	"12.2625"	"micron"	"direct"	"2.996"	"micron"	"direct"	"27.4245"	"micron"	"direct"	"2.9045"	"micron"	"direct"	"0.24432212"	"dimensionless"	"direct"	"0.44277012"	"dimensionless"	"direct"	"0.96969413"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
"MCDS_S_0000000137.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.9341 0.357"	"dimensionless"	"Unit Vector"	"direct"	"3.14 218.01 0.0"	"micron"	"direct"	"42.5625"	"micron^2"	"direct"	"7.362"	"micron"	"direct"	"10.006"	"micron"	"direct"	"5.63275"	"micron"	"direct"	"26.0815"	"micron"	"direct"	"3.681"	"micron"	"direct"	"0.56293724"	"dimensionless"	"direct"	"0.78627029"	"dimensionless"	"direct"	"0.82649965"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
"MCDS_S_0000000137.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9326 0.3609"	"dimensionless"	"Unit Vector"	"direct"	"3.27 229.0 0.0"	"micron"	"direct"	"41.25"	"micron^2"	"direct"	"7.248"	"micron"	"direct"	"8.799"	"micron"	"direct"	"6.1975"	"micron"	"direct"	"24.8995"	"micron"	"direct"	"3.624"	"micron"	"direct"	"0.7043414"	"dimensionless"	"direct"	"0.83608911"	"dimensionless"	"direct"	"0.70986139"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
"MCDS_S_0000000137.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9995 -0.033"	"dimensionless"	"Unit Vector"	"direct"	"2.03 270.11 0.0"	"micron"	"direct"	"21.375"	"micron^2"	"direct"	"5.2175"	"micron"	"direct"	"7.83125"	"micron"	"direct"	"3.78225"	"micron"	"direct"	"19.8995"	"micron"	"direct"	"2.60875"	"micron"	"direct"	"0.48296887"	"dimensionless"	"direct"	"0.67831537"	"dimensionless"	"direct"	"0.87563752"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
"MCDS_S_0000000137.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.7288 -0.6848"	"dimensionless"	"Unit Vector"	"direct"	"5.54 281.07 0.0"	"micron"	"direct"	"86.1875"	"micron^2"	"direct"	"10.4765"	"micron"	"direct"	"11.4145"	"micron"	"direct"	"10.6255"	"micron"	"direct"	"41.4455"	"micron"	"direct"	"5.23825"	"micron"	"direct"	"0.93087739"	"dimensionless"	"direct"	"0.63052075"	"dimensionless"	"direct"	"0.36533174"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
"MCDS_S_0000000137.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.9896 0.1439"	"dimensionless"	"Unit Vector"	"direct"	"3.38 303.81 0.0"	"micron"	"direct"	"59.5"	"micron^2"	"direct"	"8.7045"	"micron"	"direct"	"11.7005"	"micron"	"direct"	"6.88575"	"micron"	"direct"	"36.41725"	"micron"	"direct"	"4.35225"	"micron"	"direct"	"0.58850049"	"dimensionless"	"direct"	"0.56378372"	"dimensionless"	"direct"	"0.80849686"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
"MCDS_S_0000000137.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9993 0.037"	"dimensionless"	"Unit Vector"	"direct"	"1.52 316.87 0.0"	"micron"	"direct"	"12.5"	"micron^2"	"direct"	"3.99"	"micron"	"direct"	"6.028"	"micron"	"direct"	"2.77675"	"micron"	"direct"	"14.7175"	"micron"	"direct"	"1.995"	"micron"	"direct"	"0.460642"	"dimensionless"	"direct"	"0.72518997"	"dimensionless"	"direct"	"0.88758602"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
"MCDS_S_0000000137.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.9995 -0.031"	"dimensionless"	"Unit Vector"	"direct"	"1.75 356.35 0.0"	"micron"	"direct"	"22.875"	"micron^2"	"direct"	"5.3975"	"micron"	"direct"	"10.48625"	"micron"	"direct"	"2.90875"	"micron"	"direct"	"23.2175"	"micron"	"direct"	"2.69875"	"micron"	"direct"	"0.27738705"	"dimensionless"	"direct"	"0.53326129"	"dimensionless"	"direct"	"0.96075825"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000137.xml"
